"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
17001000100,17,001,000100,85.3,2.2365,3
17001000201,17,001,000201,78.1,1.8283,3
17001000202,17,001,000202,78.2,2.6379,3
17001000400,17,001,000400,66.2,1.1489,3
17001000500,17,001,000500,71.6,0.9411,2
17001000600,17,001,000600,82.1,1.8278,3
17001000700,17,001,000700,69.8,2.3339,3
17001000800,17,001,000800,68.2,1.4937,1
17001000900,17,001,000900,78.9,2.5834,3
17001001001,17,001,001001,77.7,1.7393,3
17001001002,17,001,001002,78.7,1.0797,3
17001001100,17,001,001100,82.7,1.7181,3
17001010100,17,001,010100,79.2,1.1152,3
17001010200,17,001,010200,76.7,1.2911,3
17001010300,17,001,010300,80.5,1.2869,3
17001010400,17,001,010400,79.2,1.4883,3
17001010500,17,001,010500,80.8,1.7805,3
17001010600,17,001,010600,80.3,1.6831,3
17003957600,17,003,957600,75.7,1.3397,3
17003957700,17,003,957700,77.1,1.8579,3
17003957800,17,003,957800,74.2,2.1969,1
17003957900,17,003,957900,70.9,2.7858,3
17005951200,17,005,951200,77.7,1.4127,3
17005951300,17,005,951300,77.7,0.8251,2
17005951400,17,005,951400,77,3.4767,3
17005951500,17,005,951500,78.3,1.1298,3
17007010100,17,007,010100,78.1,1.5667,1
17007010200,17,007,010200,77.4,1.196,3
17007010300,17,007,010300,75.9,1.2688,3
17007010400,17,007,010400,77.8,1.1484,3
17007010500,17,007,010500,79.4,1.1098,3
17007010601,17,007,010601,82.1,2.249,3
17007010602,17,007,010602,77.7,1.3959,2
17009970400,17,009,970400,78.4,0.9025,2
17009970500,17,009,970500,72.9,1.9935,3
17011964700,17,011,964700,88.3,3.3263,3
17011964800,17,011,964800,80.7,1.1302,3
17011964900,17,011,964900,76.3,1.7354,3
17011965000,17,011,965000,88.2,2.3374,3
17011965100,17,011,965100,77.3,1.1236,3
17011965200,17,011,965200,77.8,1.5069,3
17011965300,17,011,965300,77.4,1.3751,3
17011965500,17,011,965500,80,1.4782,3
17011965600,17,011,965600,79.2,1.4498,3
17013951200,17,013,951200,78.3,1.1641,3
17013951300,17,013,951300,86,2.482,3
17015960100,17,015,960100,82.1,1.3065,3
17015960200,17,015,960200,80.9,2.8206,3
17015960300,17,015,960300,71.8,1.5384,3
17015960400,17,015,960400,76.8,1.5527,3
17015960500,17,015,960500,79.1,1.5934,3
17015960600,17,015,960600,78.8,2.0602,3
17017960100,17,017,960100,77.8,1.4922,3
17017960200,17,017,960200,77.2,1.4849,3
17017960300,17,017,960300,77.1,1.5904,1
17017960400,17,017,960400,75.2,1.2853,3
17017960500,17,017,960500,76.7,1.6534,3
17019000200,17,019,000200,72.7,2.973,3
17019000500,17,019,000500,79.7,1.4594,2
17019000700,17,019,000700,71.9,1.7553,3
17019000800,17,019,000800,77.3,1.6131,3
17019000901,17,019,000901,73.7,1.6309,3
17019000902,17,019,000902,80.9,1.7025,3
17019001000,17,019,001000,77.8,2.4093,3
17019001100,17,019,001100,84.3,1.8848,3
17019001201,17,019,001201,77.8,1.5678,3
17019001203,17,019,001203,82.1,1.9691,3
17019001204,17,019,001204,84.5,2.9685,3
17019001205,17,019,001205,86.9,3.2406,3
17019001206,17,019,001206,84.2,2.2022,3
17019001301,17,019,001301,84,1.9073,3
17019001302,17,019,001302,79.9,1.0871,3
17019001400,17,019,001400,83.7,3.1869,3
17019005401,17,019,005401,75.4,1.5321,2
17019005402,17,019,005402,78.9,2.7834,3
17019005500,17,019,005500,74.4,1.3913,3
17019005600,17,019,005600,76.7,1.7131,3
17019005701,17,019,005701,80.8,1.8231,3
17019005702,17,019,005702,84.3,2.4575,3
17019005800,17,019,005800,85.5,3.4844,3
17019010100,17,019,010100,76.5,2.5027,1
17019010204,17,019,010204,77.5,1.4049,3
17019010300,17,019,010300,76.9,1.7827,3
17019010400,17,019,010400,75.9,1.0744,3
17019010500,17,019,010500,88.3,2.9915,3
17019010601,17,019,010601,79.6,1.4197,3
17019010603,17,019,010603,85.3,2.6773,3
17019010604,17,019,010604,79.1,1.7081,3
17019010700,17,019,010700,80.9,0.9306,3
17019010800,17,019,010800,81.8,1.6646,3
17019010900,17,019,010900,81.3,1.231,3
17019011000,17,019,011000,79.5,1.4808,2
17021958100,17,021,958100,77.7,1.4192,3
17021958200,17,021,958200,77.7,1.1417,3
17021958300,17,021,958300,77.2,1.4039,3
17021958400,17,021,958400,75.8,1.2309,3
17021958500,17,021,958500,72.6,2.3016,1
17021958600,17,021,958600,76.4,2.4702,3
17021958700,17,021,958700,82.9,1.7436,3
17021958800,17,021,958800,73.1,1.5899,3
17021958900,17,021,958900,74.2,1.9209,3
17021959000,17,021,959000,76.7,1.1653,3
17023060100,17,023,060100,78.4,1.472,3
17023060200,17,023,060200,73.5,1.2052,3
17023060300,17,023,060300,76.5,0.9507,3
17023060400,17,023,060400,77.9,1.8544,3
17025971900,17,025,971900,79,1.7986,3
17025972000,17,025,972000,74.7,2.3515,3
17025972100,17,025,972100,73.2,1.0905,3
17025972200,17,025,972200,77.6,1.5403,3
17027900100,17,027,900100,81.1,0.9481,3
17027900200,17,027,900200,84.5,3.3044,3
17027900300,17,027,900300,81.9,1.1649,3
17027900401,17,027,900401,77.7,3.645,3
17027900402,17,027,900402,76.3,1.0614,3
17027900500,17,027,900500,78.7,1.2923,3
17027900601,17,027,900601,80.2,2.3208,3
17027900602,17,027,900602,78.3,1.5885,3
17029000100,17,029,000100,78.5,1.1768,3
17029000200,17,029,000200,79.6,1.5036,3
17029000300,17,029,000300,77.5,1.3679,3
17029000400,17,029,000400,71.6,2.0176,1
17029000500,17,029,000500,76.3,1.2028,3
17029000600,17,029,000600,80.7,1.562,3
17029000900,17,029,000900,82.9,1.6226,3
17029001000,17,029,001000,76.9,1.3498,3
17029001100,17,029,001100,72.4,1.1223,3
17029001200,17,029,001200,75.7,1.6162,1
17031010100,17,031,010100,68.8,1.7306,1
17031010201,17,031,010201,77.3,1.9253,2
17031010202,17,031,010202,78.6,1.3567,2
17031010300,17,031,010300,70,1.0274,3
17031010400,17,031,010400,79.7,1.9647,2
17031010501,17,031,010501,80.8,2.7576,3
17031010502,17,031,010502,79.1,2.4009,2
17031010503,17,031,010503,78.4,3.4729,2
17031010600,17,031,010600,79.1,1.6625,2
17031010701,17,031,010701,83.8,3.7874,3
17031010702,17,031,010702,75.4,3.2467,3
17031020100,17,031,020100,79.7,1.5711,3
17031020200,17,031,020200,81.9,1.332,3
17031020301,17,031,020301,83.7,1.2953,3
17031020302,17,031,020302,73,1.0541,3
17031020400,17,031,020400,82.7,2.5667,3
17031020500,17,031,020500,77.6,2.008,3
17031020601,17,031,020601,79.4,1.4872,3
17031020602,17,031,020602,79.6,1.5062,3
17031020701,17,031,020701,81.1,2.0599,3
17031020702,17,031,020702,77.5,1.1972,3
17031020801,17,031,020801,80.4,2.6068,3
17031020802,17,031,020802,79.1,1.313,3
17031020901,17,031,020901,77,2.2504,3
17031020902,17,031,020902,78.5,3.158,1
17031030102,17,031,030102,76,3.5908,3
17031030103,17,031,030103,79.1,2.5395,2
17031030200,17,031,030200,83.7,3.4746,3
17031030300,17,031,030300,80,2.1471,3
17031030400,17,031,030400,81.3,3.3378,3
17031030500,17,031,030500,75.2,1.4069,3
17031030601,17,031,030601,80,3.4323,3
17031030604,17,031,030604,79,2.1457,3
17031030701,17,031,030701,79.7,1.9553,2
17031030702,17,031,030702,77.7,2.6689,3
17031030703,17,031,030703,75.4,1.5974,3
17031030706,17,031,030706,79.4,1.5387,3
17031030800,17,031,030800,81.1,1.5673,2
17031030900,17,031,030900,81.9,2.3202,3
17031031000,17,031,031000,79.2,1.5005,3
17031031100,17,031,031100,82.7,2.0604,3
17031031200,17,031,031200,67.3,1.2467,3
17031031300,17,031,031300,78.1,1.4775,3
17031031400,17,031,031400,77.8,1.2359,3
17031031501,17,031,031501,80.6,2.7039,3
17031031502,17,031,031502,75.7,1.903,2
17031031700,17,031,031700,74.1,1.8831,3
17031031800,17,031,031800,82,1.6817,2
17031031900,17,031,031900,81.1,2.0622,2
