zipcode,grocery_stores,parks,libraries,health_centers,cta_train_stops,cta_bus_stops,crimes
60601,3,27,0,0,2,36,5
60602,0,9,0,0,10,21,9
60603,0,1,0,0,2,11,6
60604,0,1,0,0,4,12,2
60605,2,38,1,0,5,86,9
60606,0,6,0,0,1,30,2
60607,4,21,2,0,5,123,12
60608,18,62,2,12,6,319,25
60609,20,46,5,7,5,399,17
60610,11,13,1,2,2,103,11
60611,5,32,2,0,1,83,12
60612,4,22,2,2,4,276,32
60613,9,17,1,2,5,152,8
60614,11,144,1,1,3,179,10
60615,4,41,2,5,2,144,10
60616,8,55,2,3,3,229,10
60617,14,54,4,3,0,416,30
60618,17,37,1,1,2,276,12
60619,10,28,2,1,0,315,26
60620,17,34,2,2,3,281,34
60621,7,20,1,4,3,249,22
60622,14,39,1,6,1,171,14
60623,22,35,3,10,4,284,29
60624,8,38,1,3,5,190,41
60625,12,33,2,4,6,182,7
60626,11,44,1,3,4,92,5
60628,14,30,2,4,0,352,22
60629,15,27,1,5,1,246,23
60630,8,22,2,0,2,220,6
60631,2,22,1,0,1,64,3
60632,20,13,3,3,2,319,14
60633,2,8,1,0,0,41,2
60634,13,7,3,1,0,287,7
60636,15,11,1,1,1,205,23
60637,11,67,1,1,2,292,17
60638,5,15,2,2,3,263,5
60639,32,19,2,2,0,310,18
60640,16,38,1,5,5,173,14
60641,10,13,1,0,1,224,11
60643,9,34,3,0,0,209,11
60644,7,30,1,3,6,209,38
60645,4,28,1,1,0,107,3
60646,5,20,1,0,0,107,5
60647,18,47,3,6,3,257,18
60649,8,26,1,1,1,181,22
60651,11,16,1,4,0,220,27
60652,2,8,2,0,0,128,3
60653,6,44,0,4,3,135,7
60654,0,3,0,0,3,69,16
60655,3,9,1,0,0,108,0
60656,2,6,1,0,2,64,2
60657,5,18,2,2,4,141,9
60659,14,18,1,1,0,140,1
60660,9,25,1,1,3,82,3
60661,3,1,0,0,2,38,3
60664,0,0,0,0,0,0,0
60666,0,0,0,0,0,0,2
60680,0,0,0,0,0,0,0
60681,0,0,0,0,0,0,0
60690,0,0,0,0,0,0,0
60691,0,0,0,0,0,0,0
60701,0,0,0,0,0,0,0
60706,0,0,0,0,0,94,1
60707,3,4,1,0,0,83,1
60803,0,0,0,0,0,7,0
60804,0,0,0,0,2,76,0
60805,0,0,0,0,0,66,0
60827,2,4,1,0,0,23,4
