STATE,COUNTY,StateCounty,county_mean
Illinois,Adams County,17001,44221
Illinois,Alexander County,17003,37755
Illinois,Bond County,17005,46007
Illinois,Boone County,17007,61589
Illinois,Brown County,17009,39655
Illinois,Bureau County,17011,48320
Illinois,Calhoun County,17013,41391
Illinois,Carroll County,17015,45742
Illinois,Cass County,17017,41016
Illinois,Champaign County,17019,48900
Illinois,Christian County,17021,43940
Illinois,Clark County,17023,42606
Illinois,Clay County,17025,38241
Illinois,Clinton County,17027,50430
Illinois,Coles County,17029,42225
Illinois,Cook County,17031,62488
Illinois,Crawford County,17033,40792
Illinois,Cumberland County,17035,42790
Illinois,De Kalb County,17037,53047
Illinois,De Witt County,17039,50196
Illinois,Douglas County,17041,47604
Illinois,Du Page County,17043,86077
Illinois,Edgar County,17045,43390
Illinois,Edwards County,17047,38991
Illinois,Effingham County,17049,47803
Illinois,Fayette County,17051,38250
Illinois,Ford County,17053,45811
Illinois,Franklin County,17055,36227
Illinois,Fulton County,17057,42714
Illinois,Gallatin County,17059,36576
Illinois,Greene County,17061,38390
Illinois,Grundy County,17063,58705
Illinois,Hamilton County,17065,39632
Illinois,Hancock County,17067,43140
Illinois,Hardin County,17069,36421
Illinois,Henderson County,17071,42250
Illinois,Henry County,17073,47366
Illinois,Iroquois County,17075,46651
Illinois,Jackson County,17077,37102
Illinois,Jasper County,17079,42770
Illinois,Jefferson County,17081,42082
Illinois,Jersey County,17083,51620
Illinois,Jo Daviess County,17085,51421
Illinois,Johnson County,17087,44502
Illinois,Kane County,17089,72835
Illinois,Kanakee County,17091,50488
Illinois,Kendall County,17093,72357
Illinois,Knox County,17095,43780
Illinois,Lake County,17097,93891
Illinois,La Salle County,17099,48244
Illinois,Lawrence County,17101,39843
Illinois,Lee County,17103,48955
Illinois,Livingston County,17105,48163
Illinois,Logan County,17107,46567
Illinois,Mc Donough County,17109,40418
Illinois,Mc Henry County,17111,76430
Illinois,Mc Lean County,17113,57773
Illinois,Macon County,17115,48808
Illinois,Macoupin County,17117,43434
Illinois,Madison County,17119,51459
Illinois,Marion County,17121,42649
Illinois,Marshall County,17123,46910
Illinois,Mason County,17125,43166
Illinois,Massac County,17127,38241
Illinois,Menard County,17129,54857
Illinois,Mercer County,17131,47650
Illinois,Monroe County,17133,61241
Illinois,Montgomery County,17135,40653
Illinois,Morgan County,17137,45442
Illinois,Moultrie County,17139,46911
Illinois,Ogle County,17141,53841
Illinois,Peoria County,17143,52365
Illinois,Perry County,17145,39607
Illinois,Piatt County,17147,53151
Illinois,Pike County,17149,38666
Illinois,Pope County,17151,39251
Illinois,Pulaski County,17153,32208
Illinois,Putnam County,17155,49774
Illinois,Randolph County,17157,45634
Illinois,Richland County,17159,40358
Illinois,Rock Island County,17161,48672
Illinois,St Clair County,17163,49274
Illinois,Saline County,17165,37227
Illinois,Sangamon County,17167,55052
Illinois,Schuyler County,17169,41175
Illinois,Scott County,17171,42044
Illinois,Shelby County,17173,43369
Illinois,Stark County,17175,41477
Illinois,Stephenson County,17177,48493
Illinois,Tazewell County,17179,53622
Illinois,Union County,17181,39552
Illinois,Vermillion County,17183,41435
Illinois,Wabash County,17185,41300
Illinois,Warren County,17187,43104
Illinois,Washington County,17189,48617
Illinois,Wayne County,17191,37367
Illinois,White County,17193,37496
Illinois,Whiteside County,17195,48468
Illinois,Will County,17197,72753
Illinois,Wiliamson County,17199,41828
Illinois,Winnebago County,17201,53964
