Median_Income,Zip_Code
101250,60601
73971,60602
111125,60603
155750,60604
82777,60605
107819,60606
81042,60607
35112,60608
32379,60609
75700,60610
85074,60611
34614,60612
69032,60613
88256,60614
40196,60615
43554,60616
38825,60617
56763,60618
34153,60619
32557,60620
19190,60621
71019,60622
29075,60623
22835,60624
57252,60625
37109,60626
37038,60628
40095,60629
62859,60630
74186,60631
38196,60632
43452,60633
55324,60634
27080,60636
26997,60637
62927,60638
38686,60639
46423,60640
48786,60641
60315,60643
26299,60644
48877,60645
72086,60646
54400,60647
27723,60649
32494,60651
63905,60652
25343,60653
92106,60654
86598,60655
55831,60656
78796,60657
50237,60659
40835,60660
92521,60661
110215,60664
NA,60666
NA,60680
NA,60681
NA,60690
NA,60691
NA,60701
51420,60706
53394,60707
51553,60803
41882,60804
65744,60805
32747,60827
