address,zipcode,lattitude,longitude
1200 S Linn White Dr,60605,41.864502,-87.609197
1200 S Lake Shore Drive,60605,41.868755,-87.617531
3155 S Lake Shore Dr,60615,41.80685,-87.586141
4100 S Lake Shore Drive,60653,41.80685,-87.586141
5700 S Lake Shore Drive,60637,41.792018,-87.580307
5700 South Lake Shore Drive,60611,41.792018,-87.580307
6401 S Stony Island Ave,60637,41.778764,-87.586422
5900 S Lake Shore Drive,60637,41.788198,-87.577915
6300 S Lake Shore Drive,60649,41.782787,-87.576065
6301 S Lake Shore Drive,60637,41.783009,-87.576056
1440 North Humboldt Drive,60622,41.906454,-87.701389
2045 N Lincoln Park West,60614,41.919658,-87.636379
6205 N Sheridan Rd,60660,41.994711,-87.655536
337 E Randolph St,60602,41.884284,-87.622394
49 E 95th St,60619,41.721692,-87.622178
1200 S Linn White Dr,60605,41.864502,-87.609197
1200 S Lake Shore Drive,60605,41.868755,-87.617531
3155 S Lake Shore Dr,60615,41.80685,-87.586141
4100 S Lake Shore Drive,60653,41.80685,-87.586141
5700 S Lake Shore Drive,60637,41.792018,-87.580307
5700 South Lake Shore Drive,60611,41.792018,-87.580307
6401 S Stony Island Ave,60637,41.778764,-87.586422
5900 S Lake Shore Drive,60637,41.788198,-87.577915
6300 S Lake Shore Drive,60649,41.782787,-87.576065
6301 S Lake Shore Drive,60637,41.783009,-87.576056
1440 North Humboldt Drive,60622,41.906454,-87.701389
2045 N Lincoln Park West,60614,41.919658,-87.636379
6205 N Sheridan Rd,60660,41.994711,-87.655536
337 E Randolph St,60602,41.884284,-87.622394
49 E 95th St,60619,41.721692,-87.622178
49 E 95th St,60619,41.721692,-87.622178
2045 N Lincoln Park West,60614,41.919658,-87.636379
11250 S Ada St,60643,41.68911,-87.655659
11250 S Ada St,60643,41.68911,-87.655659
1919 N Seminary Ave,60614,41.916495,-87.655352
7535 S Dobson Ave,60619,41.757522,-87.599291
550 E Grand Ave,60611,41.891947,-87.612329
1434 S Loomis,60608,41.862363,-87.661434
1434 S Loomis Street,60608,41.862363,-87.661434
2045 N Lincoln Park West,60614,41.919658,-87.636379
1300 S Lake Shore Dr,60605,41.865275,-87.619044
1521 S Linn White Dr,60605,41.860664,-87.610261
541 N Fairbanks Ct,60611,41.892398,-87.620189
100 N Central Park Ave,60624,41.881566,-87.715877
337 E Randolph St,60602,41.884284,-87.622394
3801 W 111th St,60655,41.691344,-87.715478
2133 N McVicker Ave,60639,41.918913,-87.77673
865 SPark Terrace,60605,41.867824,-87.623449
2045 N Lincoln Park West,60614,41.919658,-87.636379
2941 N Washtenaw Ave,60618,41.93513,-87.695246
2234 W 115th St,60643,41.684174,-87.677388
515 S Washtenaw Ave,60612,41.874341,-87.693699
515 S Washtenaw Ave,60612,41.874341,-87.693699
2045 N Lincoln Park West,60614,41.919658,-87.636379
1521 S Linn White Dr,60605,41.860664,-87.610261
6200 W Bloomingdale Ave,60639,41.912851,-87.778622
5110 N Damen Ave,60625,41.975187,-87.679392
7655 S Ingleside Ave,60619,41.755786,-87.60167
1611 S Wabash Avenue,60601,41.859732,-87.625649
1611 S Wabash Ave,60601,41.859732,-87.625649
1611 S Wabash Avenue,60601,41.859732,-87.625649
3748 South Prairie Avenue,60653,41.827101,-87.620457
3748 S Prairie Ave,60653,41.827101,-87.620457
5233 N Ashland Ave,60640,41.97709,-87.669595
2333 W Sunnyside Ave,60625,41.963199,-87.686423
11132 S St Lawrence Ave,60628,41.691841,-87.608403
11132 S St Lawrence,60628,41.692592,-87.540116
4901 S Kilbourn Ave,60632,41.803471,-87.735651
4901 S Kilbourn Ave,60632,41.803471,-87.735651
4901 S Kilbourn,60632,41.803471,-87.735651
860-880 Lake Shore Drive,60611,41.731699,-87.540105
3309 S Shields Ave,60616,41.834212,-87.635226
3823 S Union,60616,41.82458,-87.643514
3309 S Shields Ave,60616,41.834212,-87.635226
4433 S St Lawrence Ave,60653,41.813848,-87.611573
6644 S University Ave,60637,41.773674,-87.598464
801 S Loomis St,60607,41.871723,-87.6617
1400 South Lake Shore Drive,60605,41.865091,-87.619006
111 S Michigan Ave,60603,41.879537,-87.62425
2701 E 74th St,60649,41.762725,-87.558097
4807 W Gunnison St,60630,41.96893,-87.748189
4237 S Wabash Ave,60653,41.817125,-87.624659
2901 S Poplar Ave,60608,41.840916,-87.649304
6871 W Belden Ave,60707,41.921134,-87.798468
4639 N Kenmore Ave,60640,41.966376,-87.656194
3546 W Addison St,60618,41.946523,-87.717001
406 W Winneconna,60620,41.753403,-87.635183
406 W Winneconna Pkwy,60620,41.753403,-87.635183
406 W Winneconna Pkwy,60620,41.753403,-87.635183
4433 W Augusta Blvd,60651,41.898873,-87.737263
5951 W Lake St,60644,41.887101,-87.77418
6020 W Foster Ave,60630,41.975624,-87.778793
5610 W Lake St,60644,41.887286,-87.765528
5610 West Lake Street,60644,41.887286,-87.765528
5610 W Lake St,60644,41.887286,-87.765528
5951 W Lake St,60644,41.887101,-87.77418
6020 W Foster Ave,60630,41.975624,-87.778793
1215 E 83rd St,60619,41.744101,-87.594178
3516 W School St,60618,41.941075,-87.715252
3516 W School,60618,41.941075,-87.715252
3516 W School St,60618,41.941075,-87.715252
4922 S Throop,60609,41.804422,-87.657553
4922 S Throop St,60609,41.804422,-87.657553
4920 S Throop St,60609,41.804505,-87.657556
2434 S Leavitt St,60608,41.84776,-87.680639
2434 S Leavitt,60608,41.84776,-87.680639
2825 W Arthington St,60612,41.870157,-87.697038
10431 S Longwood Dr,60643,41.703851,-87.670833
2022 W Cermak Rd,60608,41.852195,-87.676424
2022 W Cermak,60608,41.852195,-87.676424
115 S Sangamon,60607,41.879642,-87.650804
115 S Sangamon St,60607,41.879642,-87.650804
9801 S Avenue G,60617,41.718303,-87.531025
1640 N Maplewood,60647,41.921058,-87.701101
9801 South Avenue G,60617,41.718303,-87.531025
2022 W Cermak,60608,41.852195,-87.676424
1801 S Calumet Ave,60616,41.857852,-87.619592
501 W Wisconsin St,60614,41.916469,-87.641172
6156 S Dearborn Ave,60637,41.780991,-87.604053
6156 S Dorchester Ave,60637,41.782542,-87.591405
6156 S DORCHESTER AVE,60637,41.782542,-87.591405
1725 N Springfield Ave,60647,41.912722,-87.723987
