zipcode,grocery_stores,parks,libraries,health_centers,cta_train_stops,cta_bus_stops,crimes,z_grocery_stores,z_parks,z_libraries,z_health_centers,z_cta_train_stops,z_cta_bus_stops,z_crimes
60601,3,27,0,0,2,36,5,-0.6356890076784434,0.19683868138073363,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-1.019355431824029,-0.5616425404465748
60602,0,9,0,0,10,21,9,-1.0665214248425712,-0.5905160441422009,-1.1146564949119988,-0.7038624402239171,3.768896541859074,-1.1534984508487367,-0.18067802423343673
60603,0,1,0,0,2,11,6,-1.0665214248425712,-0.9404514777079496,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-1.2429271301985418,-0.4664014113932903
60604,0,1,0,0,4,12,2,-1.0665214248425712,-0.9404514777079496,-1.1146564949119988,-0.7038624402239171,0.9474106903388864,-1.2339842622635613,-0.8473659276064283
60605,2,38,1,0,5,86,9,-0.7792998133998194,0.6779999025336381,-0.17889548683772818,-0.7038624402239171,1.4176583322589176,-0.5722120350750033,-0.18067802423343673
60606,0,6,0,0,1,30,2,-1.0665214248425712,-0.7217418317293567,-1.1146564949119988,-0.7038624402239171,-0.4633322354212072,-1.0730126394339121,-0.8473659276064283
60607,4,21,2,0,5,123,12,-0.4920782019570675,-0.06561289379357788,0.7568655212365424,-0.7038624402239171,1.4176583322589176,-0.24132592148072426,0.1050453629264168
60608,18,62,2,12,6,319,25,1.5184730781421953,1.727806203230884,0.7568655212365424,4.163525282002492,1.8879059741789488,1.5114761937754564,1.3431800406191154
60609,20,46,5,7,5,399,17,1.8056946895849473,1.0279353360993868,3.564148545459354,2.135447064408155,1.4176583322589176,2.2269056285738977,0.5812510081928394
60610,11,13,1,2,2,103,11,0.5131974380925639,-0.41554832735932656,-0.17889548683772818,0.10736884681381784,0.006915406498823964,-0.4201832801803346,0.009804233873132279
60611,5,32,2,0,1,83,12,-0.34846739623569156,0.41554832735932656,0.7568655212365424,-0.7038624402239171,-0.4633322354212072,-0.5990406388799449,0.1050453629264168
60612,4,22,2,2,4,276,32,-0.4920782019570675,-0.021870964597859293,0.7568655212365424,0.10736884681381784,0.9474106903388864,1.1269328725712944,2.009867943992107
60613,9,17,1,2,5,152,8,0.22597582664981206,-0.24058061057645222,-0.17889548683772818,0.10736884681381784,1.4176583322589176,0.018017248633710622,-0.27591915328672123
60614,11,144,1,1,3,179,10,0.5131974380925639,5.314644397279808,-0.17889548683772818,-0.2982467967050496,0.47716304841885515,0.2594746828781845,-0.08543689518015223
60615,4,41,2,5,2,144,10,-0.4920782019570675,0.8092256901207938,0.7568655212365424,1.3242157773704202,0.006915406498823964,-0.05352569484613349,-0.08543689518015223
60616,8,55,2,3,3,229,10,0.08236502092843614,1.421612698860854,0.7568655212365424,0.5129844903326852,0.47716304841885515,0.7066180796272102,-0.08543689518015223
60617,14,54,4,3,0,416,30,0.9440298552566916,1.3778707696651353,2.628387537385083,0.5129844903326852,-0.9335798773412385,2.3789343834685663,1.8193856858855377
60618,17,37,1,1,2,276,12,1.3748622724208195,0.6342579733379194,-0.17889548683772818,-0.2982467967050496,0.006915406498823964,1.1269328725712944,0.1050453629264168
60619,10,28,2,1,0,315,26,0.369586632371188,0.24058061057645222,0.7568655212365424,-0.2982467967050496,-0.9335798773412385,1.4757047220355344,1.4384211696723999
60620,17,34,2,2,3,281,34,1.3748622724208195,0.5030321857507637,0.7568655212365424,0.10736884681381784,0.47716304841885515,1.171647212246197,2.200350202098676
