SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,201 N Westshore Dr #2208,Chicago,IL,60601,495500,2.0,2.5,Loop,1295.0,,2004.0,41,383.0,849.0,Active,,,http://www.redfin.com/IL/Chicago/201-N-Westshore-Dr-60601/unit-2208/home/12646880,MRED,10977134,N,Y,41.8861967,-87.6159291
MLS Listing,,Condo/Co-op,200 N Dearborn St #1006,Chicago,IL,60601,307500,2.0,2.0,Loop,1200.0,,1989.0,58,256.0,679.0,Active,,,http://www.redfin.com/IL/Chicago/200-N-Dearborn-St-60601/unit-1006/home/39564776,MRED,10963460,N,Y,41.8860644,-87.6298907
MLS Listing,,Condo/Co-op,195 N Harbor Dr #4808,Chicago,IL,60601,499900,2.0,2.0,Loop,1287.0,,1991.0,59,388.0,1252.0,Active,,,http://www.redfin.com/IL/Chicago/195-N-Harbor-Dr-60601/unit-4808/home/14093393,MRED,10962483,N,Y,41.8855212,-87.6146956
MLS Listing,,Condo/Co-op,222 N Columbus Dr #2003,Chicago,IL,60601,359000,2.0,2.0,Loop,1225.0,,2003.0,358,293.0,968.0,Active,,,http://www.redfin.com/IL/Chicago/222-N-Columbus-Dr-60601/unit-2003/home/12599065,MRED,10662542,N,Y,41.8865605,-87.6215903
Redfin Data,,Condo/Co-op,8 E Randolph St #2804,Chicago,IL,60601,525000,2.0,2.0,Chicago,1365.0,,2008.0,8,385.0,1183.0,Pre On-Market,,,http://www.redfin.com/IL/Chicago/8-E-Randolph-St-60601/unit-2804/home/39567068,Coming Soon,67081,N,Y,41.884851,-87.6275115
MLS Listing,,Condo/Co-op,400 E Randolph St #1312,Chicago,IL,60601,209000,0.0,1.0,Loop,650.0,,1964.0,1,322.0,453.0,Active,,,http://www.redfin.com/IL/Chicago/400-E-Randolph-St-60601/unit-1312/home/14095359,MRED,11009395,N,Y,41.8848489,-87.6168112
MLS Listing,,Condo/Co-op,340 E RANDOLPH St #1002,Chicago,IL,60601,699000,2.0,2.0,Loop,1500.0,,2007.0,1,466.0,756.0,Active,,,http://www.redfin.com/IL/Chicago/340-E-Randolph-St-60601/unit-1002/home/26794803,MRED,11009222,N,Y,41.8848445,-87.6187718
MLS Listing,,Condo/Co-op,450 E Waterside Dr #2509,Chicago,IL,60601,879000,2.0,2.0,Loop,1644.0,,2007.0,1,535.0,1117.0,Active,,,http://www.redfin.com/IL/Chicago/450-E-Waterside-Dr-60601/unit-2509/home/26780552,MRED,11009062,N,Y,41.887094,-87.6153778
MLS Listing,,Condo/Co-op,420 E Waterside Dr #1403,Chicago,IL,60601,475000,2.0,2.0,Loop,1150.0,,2007.0,1,413.0,684.0,Active,,,http://www.redfin.com/IL/Chicago/420-E-Waterside-Dr-60601/unit-1403/home/18935351,MRED,11008874,N,Y,41.8871935,-87.6161158
MLS Listing,,Condo/Co-op,340 E Randolph St #703,Chicago,IL,60601,1250000,2.0,2.0,Loop,1567.0,,2007.0,2,798.0,858.0,Active,,,http://www.redfin.com/IL/Chicago/340-E-Randolph-St-60601/unit-703/home/21788251,MRED,11008347,N,Y,41.8848626,-87.6187765
MLS Listing,,Condo/Co-op,420 E WATERSIDE Dr #905,Chicago,IL,60601,375000,1.0,1.0,Loop,995.0,,2006.0,2,377.0,500.0,Active,,,http://www.redfin.com/IL/Chicago/420-E-Waterside-Dr-60601/unit-905/home/18913645,MRED,11008127,N,Y,41.8871935,-87.6161158
MLS Listing,,Condo/Co-op,450 E Waterside Dr #3307,Chicago,IL,60601,975000,2.0,2.5,Loop,1839.0,,2007.0,2,530.0,1100.0,Active,,,http://www.redfin.com/IL/Chicago/450-E-Waterside-Dr-60601/unit-3307/home/26795168,MRED,11007938,N,Y,41.887094,-87.6153778
MLS Listing,,Condo/Co-op,222 N Columbus Dr #702,Chicago,IL,60601,199999,1.0,1.0,Loop,600.0,,2002.0,2,333.0,442.0,Active,,,http://www.redfin.com/IL/Chicago/222-N-Columbus-Dr-60601/unit-702/home/12595756,MRED,11007823,N,Y,41.8865605,-87.6215903
MLS Listing,,Condo/Co-op,200 N Dearborn St #1901,Chicago,IL,60601,189900,0.0,1.0,Loop,700.0,,1989.0,3,271.0,350.0,Active,,,http://www.redfin.com/IL/Chicago/200-N-Dearborn-St-60601/unit-1901/home/144508441,MRED,11007012,N,Y,41.8860644,-87.6298907
MLS Listing,,Condo/Co-op,340 E RANDOLPH St #5206,Chicago,IL,60601,2275000,3.0,2.5,Loop,2354.0,,2007.0,3,966.0,1244.0,Active,,,http://www.redfin.com/IL/Chicago/340-E-Randolph-St-60601/unit-5206/home/26815622,MRED,11006990,N,Y,41.8848445,-87.6187718
MLS Listing,,Condo/Co-op,201 N Westshore Dr #502,Chicago,IL,60601,585000,3.0,2.0,Loop,1478.0,,2005.0,3,396.0,797.0,Active,,,http://www.redfin.com/IL/Chicago/201-N-Westshore-Dr-60601/unit-502/home/12647071,MRED,11006972,N,Y,41.8861967,-87.6159291
MLS Listing,,Condo/Co-op,201 N WESTSHORE Dr #1908,Chicago,IL,60601,585000,2.0,2.5,Loop,1295.0,,2005.0,3,452.0,799.0,Active,,,http://www.redfin.com/IL/Chicago/201-N-Westshore-Dr-60601/unit-1908/home/12635689,MRED,11006939,N,Y,41.8861967,-87.6159291
MLS Listing,,Condo/Co-op,155 N Harbor Dr #5306,Chicago,IL,60601,347000,1.0,1.0,Loop,800.0,,1974.0,3,434.0,588.0,Active,,,http://www.redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-5306/home/14092859,MRED,11006765,N,Y,41.8850094,-87.6148097
MLS Listing,,Condo/Co-op,222 N Columbus Dr #1402,Chicago,IL,60601,345000,2.0,2.0,Loop,1170.0,,2002.0,3,295.0,894.0,Active,,,http://www.redfin.com/IL/Chicago/222-N-Columbus-Dr-60601/unit-1402/home/12616076,MRED,11006406,N,Y,41.8865605,-87.6215903
MLS Listing,,Condo/Co-op,155 N HARBOR Dr #4107,Chicago,IL,60601,350000,2.0,1.5,Loop,990.0,,1974.0,5,354.0,827.0,Active,,,http://www.redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-4107/home/14094197,MRED,11005619,N,Y,41.8850094,-87.6148097
MLS Listing,,Condo/Co-op,200 N Dearborn St #4106,Chicago,IL,60601,395000,2.0,2.0,Loop,1205.0,,1989.0,6,328.0,959.0,Active,,,http://www.redfin.com/IL/Chicago/200-N-Dearborn-St-60601/unit-4106/home/144508656,MRED,11005401,N,Y,41.8860644,-87.6298907
MLS Listing,,Condo/Co-op,400 E RANDOLPH St #2529,Chicago,IL,60601,495000,2.0,2.0,Loop,1250.0,,1963.0,6,396.0,931.0,Active,,,http://www.redfin.com/IL/Chicago/400-E-Randolph-St-60601/unit-2529/home/12565796,MRED,11004703,N,Y,41.8848489,-87.6168112
MLS Listing,,Condo/Co-op,225 N Columbus Dr #6804,Chicago,IL,60601,699000,1.0,1.5,Loop,1209.0,,2009.0,6,578.0,,Active,,,http://www.redfin.com/IL/Chicago/225-N-Columbus-Dr-60601/unit-6804/home/52638183,MRED,11004563,N,Y,41.8864588,-87.6197781
