p_type,address,zip,price,beds,baths,location,sq_feet,lot_size,status
Condo/Co-op,201 n westshore dr #2208,60601,495500.0,2.0,2.5,Loop,1295.0,,Active
Condo/Co-op,200 n dearborn st #1006,60601,307500.0,2.0,2.0,Loop,1200.0,,Active
Condo/Co-op,195 n harbor dr #4808,60601,499900.0,2.0,2.0,Loop,1287.0,,Active
Condo/Co-op,222 n columbus dr #2003,60601,359000.0,2.0,2.0,Loop,1225.0,,Active
Condo/Co-op,8 e randolph st #2804,60601,525000.0,2.0,2.0,Chicago,1365.0,,Pre On-Market
Condo/Co-op,400 e randolph st #1312,60601,209000.0,0.0,1.0,Loop,650.0,,Active
Condo/Co-op,340 e randolph st #1002,60601,699000.0,2.0,2.0,Loop,1500.0,,Active
Condo/Co-op,450 e waterside dr #2509,60601,879000.0,2.0,2.0,Loop,1644.0,,Active
Condo/Co-op,420 e waterside dr #1403,60601,475000.0,2.0,2.0,Loop,1150.0,,Active
Condo/Co-op,340 e randolph st #703,60601,1250000.0,2.0,2.0,Loop,1567.0,,Active
Condo/Co-op,420 e waterside dr #905,60601,375000.0,1.0,1.0,Loop,995.0,,Active
Condo/Co-op,450 e waterside dr #3307,60601,975000.0,2.0,2.5,Loop,1839.0,,Active
Condo/Co-op,222 n columbus dr #702,60601,199999.0,1.0,1.0,Loop,600.0,,Active
Condo/Co-op,200 n dearborn st #1901,60601,189900.0,0.0,1.0,Loop,700.0,,Active
Condo/Co-op,340 e randolph st #5206,60601,2275000.0,3.0,2.5,Loop,2354.0,,Active
Condo/Co-op,201 n westshore dr #502,60601,585000.0,3.0,2.0,Loop,1478.0,,Active
Condo/Co-op,201 n westshore dr #1908,60601,585000.0,2.0,2.5,Loop,1295.0,,Active
Condo/Co-op,155 n harbor dr #5306,60601,347000.0,1.0,1.0,Loop,800.0,,Active
Condo/Co-op,222 n columbus dr #1402,60601,345000.0,2.0,2.0,Loop,1170.0,,Active
Condo/Co-op,155 n harbor dr #4107,60601,350000.0,2.0,1.5,Loop,990.0,,Active
Condo/Co-op,200 n dearborn st #4106,60601,395000.0,2.0,2.0,Loop,1205.0,,Active
Condo/Co-op,400 e randolph st #2529,60601,495000.0,2.0,2.0,Loop,1250.0,,Active
Condo/Co-op,225 n columbus dr #6804,60601,699000.0,1.0,1.5,Loop,1209.0,,Active
Condo/Co-op,400 e randolph st #2829,60601,450000.0,2.0,2.0,Loop,1250.0,,Active
Condo/Co-op,360 e randolph st #2104,60601,749000.0,2.0,2.0,Loop,1567.0,,Active
Condo/Co-op,400 e randolph st #3521,60601,230000.0,1.0,1.0,Loop,,,Active
Condo/Co-op,340 e randolph st #302,60601,580000.0,1.0,1.5,Loop,1281.0,,Active
Condo/Co-op,400 e randolph st #2527,60601,344900.0,1.0,1.0,Loop,850.0,,Active
Condo/Co-op,400 e randolph st #2114,60601,249900.0,1.0,1.0,Loop,,,Active
Condo/Co-op,340 e randolph st #3701,60601,2195000.0,3.0,3.5,Loop,2371.0,,Active
Condo/Co-op,155 n harbor dr #1706,60601,325000.0,1.0,1.0,Loop,824.0,,Active
Condo/Co-op,8 e randolph st #2901,60601,570000.0,2.0,2.0,Loop,,,Active
Condo/Co-op,363 e wacker dr #5905,60601,2490000.0,3.0,3.0,Loop,2049.0,,Active
Condo/Co-op,363 e wacker dr #2506,60601,2491334.0,3.0,2.5,Loop,2499.0,,Active
Condo/Co-op,363 e wacker dr #3204,60601,1700000.0,2.0,2.0,Loop,1714.0,,Active
Condo/Co-op,201 n westshore dr #2307,60601,669900.0,2.0,2.0,Loop,1446.0,,Active
Condo/Co-op,360 e randolph st #3703,60601,1249000.0,3.0,2.5,Loop,1915.0,,Active
Condo/Co-op,420 e waterside dr #1213,60601,459900.0,1.0,1.0,Loop,870.0,,Active
Condo/Co-op,8 e randolph st #2706,60601,324900.0,1.0,1.0,Loop,925.0,,Active
Condo/Co-op,195 n harbor dr #5408,60601,465000.0,2.0,2.0,Loop,1294.0,,Active
Condo/Co-op,450 e waterside dr #2005,60601,360000.0,1.0,1.0,Loop,904.0,,Active
Condo/Co-op,155 n harbor dr #1506,60601,329000.0,1.0,1.0,Loop,,,Active
Condo/Co-op,155 n harbor dr #1501,60601,245000.0,0.0,1.0,Loop,708.0,,Active
Condo/Co-op,155 n harbor dr #907,60601,355000.0,2.0,2.0,Loop,990.0,,Active
Condo/Co-op,225 n columbus dr #5301,60601,489000.0,1.0,1.0,Loop,863.0,,Active
Condo/Co-op,225 n columbus dr #6701,60601,1200000.0,3.0,2.5,Loop,1756.0,,Active
Condo/Co-op,420 e waterside dr #1912,60601,825000.0,2.0,2.0,Loop,1446.0,,Active
Condo/Co-op,,60601,245000.0,1.0,1.0,Loop,660.0,,Active
Condo/Co-op,8 e randolph st #2803,60601,312000.0,1.0,1.0,Loop,925.0,,Active
Condo/Co-op,450 e waterside dr #3201,60601,2385000.0,3.0,3.5,Loop,3231.0,,Active
Condo/Co-op,450 e waterside dr #2103,60601,699000.0,2.0,2.0,Loop,1135.0,,Active
Condo/Co-op,222 n columbus dr #301,60601,220000.0,1.0,1.0,Loop,,,Active
Condo/Co-op,450 e waterside dr #1004,60601,325000.0,1.0,1.0,Loop,870.0,,Active
Condo/Co-op,400 e randolph st #920,60601,480000.0,2.0,2.0,Loop,1250.0,,Active
Condo/Co-op,8 e randolph st #1604,60601,579900.0,2.0,2.0,Loop,1446.0,,Active
Condo/Co-op,450 e waterside dr #303,60601,500000.0,1.0,1.5,Loop,1080.0,,Active
Condo/Co-op,200 n dearborn st #2405,60601,248900.0,1.0,1.0,Loop,755.0,,Active
Condo/Co-op,155 n harbor dr #304,60601,379000.0,1.0,1.5,Loop,1000.0,,Active
Condo/Co-op,400 e randolph st #1318,60601,349000.0,1.0,1.0,Loop,825.0,,Active
Condo/Co-op,400 e randolph st #1608,60601,524995.0,2.0,2.0,Loop,1475.0,,Active
Condo/Co-op,8 e randolph st #1701,60601,500000.0,2.0,2.0,Loop,1365.0,,Active
Condo/Co-op,340 e randolph st #2005,60601,2400000.0,3.0,2.5,Loop,2412.0,,Active
Condo/Co-op,450 e waterside dr #601,60601,599000.0,2.0,2.0,Loop,1153.0,,Active
Condo/Co-op,400 e randolph st #2830,60601,489500.0,2.0,2.0,Loop,1250.0,,Active
Condo/Co-op,420 e waterside dr #1104,60601,309000.0,1.0,1.0,Loop,,,Active
