zip_code,med_inc,lif_ex,schools
60601,101250,82.9,0
60602,73971,82.9,2
60603,111125,NA,0
60604,155750,NA,0
60605,82777,80.3,2
60606,107819,NA,0
60607,81042,80.7,6
60608,35112,76.2,27
60609,32379,78.4,27
60610,75700,79.3,9
60611,85074,80.2,0
60612,34614,73.8,25
60613,69032,80.7,7
60614,88256,81.2,7
60615,40196,82.0,9
60616,43554,80.3,16
60617,38825,72.4,26
60618,56763,82.7,20
60619,34153,73.4,20
60620,32557,73.9,23
60621,19190,68.0,17
60622,71019,81.1,16
60623,29075,70.1,36
60624,22835,70.2,20
60625,57252,79.4,15
60626,37109,79.1,7
60628,37038,74.6,25
60629,40095,NA,20
60630,62859,87.3,4
60631,74186,80.8,7
60632,38196,82.3,29
60633,43452,75.5,2
60634,55324,79.0,12
60636,27080,70.0,14
60637,26997,73.4,16
60638,62927,78.7,9
60639,38686,79.2,16
60640,46423,78.1,6
60641,48786,77.1,12
60643,60315,76.2,21
60644,26299,70.4,15
60645,48877,83.7,6
60646,72086,81.8,4
60647,54400,80.9,14
60649,27723,68.5,9
60651,32494,72.0,15
60652,63905,76.2,11
60653,25343,73.3,14
60654,92106,NA,0
60655,86598,80.5,5
60656,55831,84.4,4
60657,78796,NA,6
60659,50237,84.8,7
60660,40835,76.0,6
60661,92521,NA,1
60664,110215,NA,0
60666,NA,NA,0
60680,NA,NA,0
60681,NA,82.9,0
60690,NA,NA,0
60691,NA,NA,0
60701,NA,NA,0
60706,51420,85.1,0
60707,53394,78.3,2
60803,51553,78.2,0
60804,41882,78.4,0
60805,65744,76.4,0
60827,32747,77.3,4
